"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
8.598713436E1,6.499928548E1,2.559459463E1,2.846624602E1,1.468359947E0,3.175338440E2,4.699999809E0,0.000000000E0
8.698716613E1,6.499929610E1,2.559457386E1,2.868801851E1,1.477399111E0,3.190422974E2,4.699999809E0,0.000000000E0
8.797373644E1,6.499930683E1,2.559455287E1,2.896976199E1,1.484384060E0,3.190953979E2,4.699999809E0,0.000000000E0
8.897213644E1,6.499931712E1,2.559453616E1,2.928910599E1,1.258985877E0,3.248499756E2,4.699999809E0,0.000000000E0
8.997712863E1,6.499932823E1,2.559451787E1,2.950605304E1,1.344680190E0,3.250858154E2,4.699999809E0,0.000000000E0
9.097276874E1,6.499933944E1,2.559449594E1,3.005740464E1,1.420525312E0,3.193369141E2,4.699999809E0,0.000000000E0
9.198038540E1,6.499935177E1,2.559447519E1,3.051394666E1,1.457712531E0,3.247473755E2,4.699999809E0,0.000000000E0
9.298786561E1,6.499936374E1,2.559445225E1,3.080718144E1,1.481755018E0,3.198393555E2,4.699999809E0,0.000000000E0
9.397202030E1,6.499937627E1,2.559443104E1,3.066921077E1,1.496503353E0,3.238341370E2,4.699999809E0,0.000000000E0
9.497962707E1,6.499938929E1,2.559441205E1,3.041418249E1,1.503665328E0,3.292482605E2,4.699999809E0,0.000000000E0
9.598729790E1,6.499940382E1,2.559440977E1,3.035200173E1,1.509600282E0,5.636848450E0,4.699999809E0,0.000000000E0
9.698488957E1,6.499941583E1,2.559438682E1,3.017250018E1,1.513311863E0,3.228066101E2,4.699999809E0,0.000000000E0
9.797487811E1,6.499942782E1,2.559436467E1,2.979384079E1,1.512089729E0,3.254362793E2,4.699999809E0,0.000000000E0
9.898860884E1,6.499943963E1,2.559434370E1,2.951774304E1,1.507324576E0,3.261557007E2,4.699999809E0,0.000000000E0
9.997638488E1,6.499945134E1,2.559432384E1,2.925126572E1,1.503570557E0,3.264872131E2,4.699999809E0,0.000000000E0
1.009760823E2,6.499946283E1,2.559430364E1,2.904786044E1,1.500970840E0,3.240303955E2,4.699999809E0,0.000000000E0
1.019715927E2,6.499947399E1,2.559428279E1,2.876005092E1,1.498621464E0,3.211327515E2,4.699999809E0,0.000000000E0
1.029904573E2,6.499948586E1,2.559426519E1,2.851031236E1,1.489823937E0,3.281239014E2,4.699999809E0,0.000000000E0
1.039947495E2,6.499949618E1,2.559425024E1,2.832642893E1,1.261744022E0,3.281562195E2,4.699999809E0,0.000000000E0
1.049775031E2,6.499950567E1,2.559423651E1,2.829916076E1,1.120726585E0,3.272608032E2,4.699999809E0,0.000000000E0
1.059964849E2,6.499951706E1,2.559421677E1,2.819653200E1,1.468677759E0,3.210490112E2,4.699999809E0,0.000000000E0
1.069858729E2,6.499953055E1,2.559419546E1,2.835790154E1,1.705566406E0,3.239664612E2,4.699999809E0,0.000000000E0
1.079854875E2,6.499954219E1,2.559417750E1,2.859969799E1,1.425224066E0,3.240785828E2,4.699999809E0,0.000000000E0
1.089738708E2,6.499955289E1,2.559416264E1,2.884039834E1,1.229756713E0,3.268284912E2,4.699999809E0,0.000000000E0
1.099783146E2,6.499956356E1,2.559414441E1,2.895353179E1,1.318880796E0,3.203651733E2,4.699999809E0,0.000000000E0
1.109814302E2,6.499957613E1,2.559413079E1,2.898508153E1,1.383448482E0,3.354835815E2,4.699999809E0,0.000000000E0
1.119728547E2,6.499958809E1,2.559411277E1,2.923257745E1,1.425724506E0,3.265484619E2,4.699999809E0,0.000000000E0
1.129748922E2,6.499959954E1,2.559409222E1,2.915603375E1,1.454174757E0,3.211826782E2,4.699999809E0,0.000000000E0
1.139876760E2,6.499961166E1,2.559407330E1,2.921446209E1,1.474984288E0,3.255415039E2,4.699999809E0,0.000000000E0
1.149848640E2,6.499962362E1,2.559405375E1,2.917309024E1,1.488142967E0,3.236976013E2,4.699999809E0,0.000000000E0
1.159876791E2,6.499963580E1,2.559403505E1,2.911020742E1,1.496594906E0,3.249403687E2,4.699999809E0,0.000000000E0
